property_type,society,sector,priceCr,area,bedRoom,bathroom,balcony,study room,servant room,floorNum,agePossession,furnishing_type,luxury_category,UserID,PricePerSquare,Rent,floor_category
flat,godrej nature plus,sector 33,1.8,1448,2,2,3,0,0,14,Under Construction,unfurnished,Medium,1,12.43,36,High Floor
flat,kanchanjanga tower,sector 56,1.87,1719,3,3,3+,0,0,2,Moderately Old,semifurnished,Medium,1,10.88,37.4,Low Floor
flat,orris aster court premier,sector 85,1.61,1900,3,4,2,0,1,5,Relatively New,semifurnished,High,1,8.47,32.2,Mid Floor
house,independent,sector 8,0.76,585,2,2,2,0,0,2,Moderately Old,unfurnished,Low,1,12.99,15.2,Low Floor
flat,bestech park view city,sector 49,3.74,2157,4,4,3+,0,1,5,Moderately Old,unfurnished,Medium,1,17.34,74.8,Mid Floor
flat,m3m heights,sector 65,2.77,1433,2,2,3+,0,0,28,Undefined,unfurnished,Low,1,19.33,55.4,High Floor
flat,pioneer araya,sector 62,9.74,4200,4,4,3+,0,1,23,Relatively New,semifurnished,Medium,1,23.19,194.8,High Floor
flat,vatika city homes,sector 83,0.97,1199,2,2,2,0,0,3,Relatively New,semifurnished,Low,1,8.09,19.4,Mid Floor
flat,emaar mgf emerald floors premier,sector 65,2.95,1833,3,4,3+,1,1,2,Relatively New,furnished,High,1,16.09,59,Low Floor
flat,assotech blith,sector 99,2.45,2835,4,4,3+,0,0,2,Undefined,unfurnished,Medium,1,8.64,49,Low Floor
flat,birla navya,sector 63a,4.77,2667,3,3,3+,0,0,1,Under Construction,unfurnished,Medium,1,17.89,95.4,Low Floor
house,unitech palms south city 1,sector 41,11.91,5000,9,9,3+,1,1,4,Moderately Old,semifurnished,Medium,1,23.82,238.2,Mid Floor
house,independent,sohna road,1.93,1053,2,3,2,1,0,1,New Property,semifurnished,Medium,1,18.33,38.6,Low Floor
flat,emaar gurgaon greens,sector 102,1.98,1315,3,3,3,0,1,12,Relatively New,unfurnished,Medium,1,15.06,39.6,High Floor
flat,lord krishna,sector 12,3.48,3150,4,3,3,0,0,6,Undefined,unfurnished,Low,1,11.05,69.6,Mid Floor
house,unitech palms south city 1,sector 41,12.05,7500,10,10,3+,1,1,4,Moderately Old,semifurnished,Medium,1,16.07,241,Mid Floor
flat,tata primanti,sector 72,4.14,2140,3,4,3+,0,1,15,Relatively New,semifurnished,High,1,19.35,82.8,High Floor
flat,puri diplomatic greens,sector 111,4.5,2700,4,5,3+,0,1,10,Relatively New,semifurnished,Low,1,16.67,90,Mid Floor
flat,dlf new town heights,sector 86,1.68,1715,3,3,3,0,1,15,Relatively New,semifurnished,Low,1,9.8,33.6,High Floor
flat,raheja vedaanta,sector 108,0.9,1468,2,2,1,0,0,10,Moderately Old,unfurnished,Low,1,6.13,18,Mid Floor
flat,puri emerald bay,sector 104,3.28,2303,4,4,3+,0,1,5,Relatively New,unfurnished,Low,1,14.24,65.6,Mid Floor
flat,ats tourmaline,sector 109,2.26,1466,3,3,3,0,0,4,New Property,unfurnished,Low,1,15.42,45.2,Mid Floor
flat,bestech park view grand spa,sector 81,6.05,6268,4,4,3+,0,1,19,Relatively New,semifurnished,Medium,1,9.65,121,High Floor
flat,om appartments,sector 5,0.51,1000,3,2,1,0,0,3,Relatively New,unfurnished,Low,1,5.1,10.2,Mid Floor
house,ansal sushant lok plots,sector 43,14.82,9000,7,8,3+,0,1,3,Old Property,semifurnished,Low,1,16.47,296.4,Mid Floor
flat,tata primanti,sector 72,8.7,4000,4,4,3+,0,1,0,New Property,semifurnished,High,1,21.75,174,Low Floor
flat,unitech the residences,sector 33,2,1421,3,4,1,0,1,1,Relatively New,unfurnished,Low,1,14.07,40,Low Floor
flat,orris aster court,sector 85,0.87,1250,2,2,2,0,0,5,Relatively New,semifurnished,High,1,6.96,17.4,Mid Floor
flat,signature global solera,sector 107,0.64,494,2,2,1,0,0,11,Relatively New,unfurnished,Medium,1,12.96,12.8,High Floor
flat,emaar gurgaon greens,sector 102,1.87,1300,3,3,3,0,1,8,Relatively New,unfurnished,Low,1,14.38,37.4,Mid Floor
flat,lavanya apartments,sector 81,1.16,1780,3,3,0,0,0,7,Undefined,unfurnished,Low,1,6.52,23.2,Mid Floor
house,ansal api esencia,sector 67,2.38,278,3,3,3,0,0,1,Undefined,unfurnished,Low,1,85.61,47.6,Low Floor
flat,cghs rail vihar,sector 15,1.8,1444,4,3,3,0,0,3,Old Property,semifurnished,Medium,1,12.47,36,Mid Floor
flat,m3m merlin,sector 67,3.6,2048,3,3,3,0,0,2,Relatively New,furnished,High,1,17.58,72,Low Floor
flat,ashok vihar phase 2,sector 5,0.36,600,2,2,1,0,0,3,Relatively New,unfurnished,Medium,1,6,7.2,Mid Floor
